_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
41,gheatzrzpp@example.com,United Kingdom,Water,Researcher/Academic,No,TJdqopoyCy,HRgJQMacLjnBVXmBYTAzeQEndbDmUJdukTPLdxjWSJgOvaKiAF,"Conformity Assessments (e.g., alignment with standards and expectations)","Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",ubITPzmIhN,Transparency,Transparency,TNQwQXdaUI,Yes,Very Easy,Technical architecture,Not prepared at all,Agree,Not Systematically,Other,Strongly agree,Strongly disagree,Very satisfied,I don’t know,I've heard of them but don't know much.,Not valuable at all,zmggoezlmioTxsgaRjRhjoGEEhxTEuHdNLnarxSjwNtnGSiZma,Internal governance process,shDkadIimqsiXbbrOAnaaOafSBInSFrVebwAxnXDnPXNxDYUVR,I need to know more about this tool to decide,NndJNvtLaXuAOjrUCqvypDOghZyhQGvRmakLAHJNibSsQvxniU,yxjuYWqHYCtcNuolQMhtjjflQfDZyTMMZAWOrFkZVfcAOTmplR,Awareness Programs for Assurance,Regulatory Clarity and Compliance Guidance,dLgPVbIKgeKhJKpjeUxRBYLjrJiHfhWAqhemIoshBOVecEEHXx,"['Value demonstration', 'Business case justification', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance']",2020-07-16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not challenging at all,Moderately challenging,Not challenging at all,Not challenging at all,Extremely challenging,Extremely challenging,Very challenging,Moderately challenging,Extremely challenging,Extremely Relevant,Not Relevant,Extremely Relevant,Extremely Relevant,Extremely Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Very Relevant
42,nzaqtmrxyn@example.com,United Kingdom,Electricity,Governance Specialist,Indirectly (We support clients or provide components for their digital twins),HfZuoXhECm,nKaAAASbzecAblWqZBGyjxByEiOyBQVsqPWAoXhAdOMoOqqhlp,Other (Please specify),"Information Security Reviews (e.g., safeguarding data and systems)",quDCAOZXPw,Quality,Accountability,CcnlzRaNEg,No,Very Difficult,Intellectual Property Rights,Somewhat unprepared,Strongly disagree,Other,Digital Communications,Neutral,Disagree,Very unsatisfied,Yes  / Something similar,I have helped develop them.,Not valuable at all,SLRREMXgBGfoUdvBqoeeHNFGoWnrGQkeVZfZItIDimoIFttdKu,"Consensus-based process (e.g., collaborative efforts of industry consortia)",goZhJdDDLyEUbnSgTeCHsSkdVtUqhhmtVjGeWfVluLICubIyin,Yes,IhpWfGEqXKIUXITFvKwLcEFdxkKzgcxjXbxnhEAIrKAlEqqwBP,ksPWlPZJauQvvrQoTUxHLQenrFDHANYIFHHUHSXBcUROvOddem,Value demonstration,Other (Please specify),lEeBtIuJbVHTHjbSWunRwOZsysNpXXTgKDedkbeplvuWVnzqBD,"['Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-07-31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not challenging at all,Not challenging at all,Extremely challenging,Slightly challenging,Extremely challenging,Moderately challenging,Very challenging,Slightly challenging,Slightly challenging,Not Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Moderately Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Slightly Relevant
43,vbaosinnik@example.com,Italy,Renewable Energy,Executive/Decision-Maker,Yes,tjAgXiECAq,qBpZvPamzPXDidnUhsQCFHwHHLQkXplvyJxMvNXSdPhwFGDpxz,"Formal Verification (e.g., rigorously proving system properties)","Compliance Audits (e.g., verifying adherence to laws and regulations)",pCKCvmbPjp,Interoperability,Transparency,lMrnFPmpyI,Yes,Very Easy,Unclear business case and issues around fairly distributed return on investment,Very prepared,Neutral,Visual Aids,Not Systematically,Strongly agree,Neutral,Neutral,Yes  / Something similar,I incorporate them in my work as guidelines.,Slightly valuable,RZgIkjtlbDAbbHPuUuwYwLEPcJLgloXGDPNAaOBVYWjXFlYImF,Select,OmIwWcbLtPIfZNWgazJRAQFbVWExugyNLLvsTUFoWoXZSpcujZ,Yes,hEFvwAltuymqyUsIlNQjrkvjJnoPuZwqemUmkDGVSuTAYmLWIL,NizCjPAulTUTMCFbRecIUBDjvIMexvZoxhxtfeIZHcDyHHMphv,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Value demonstration,yqAVmiFcvqUcHrikPHqmeSfNuQkHrjbUxZUvtzHjQgysCcLGdr,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Value demonstration']",2021-09-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Very challenging,Very challenging,Moderately challenging,Extremely challenging,Not challenging at all,Very challenging,Not challenging at all,Moderately challenging,Extremely challenging,Very Relevant,Extremely Relevant,Very Relevant,Very Relevant,Extremely Relevant,Extremely Relevant,Slightly Relevant,Slightly Relevant,Not Relevant
44,thviytjhvn@example.com,United Kingdom,Water,Governance Specialist,Indirectly (We support clients or provide components for their digital twins),wMfGDULjuc,XocWNcaOgzlMkltUUuiRfdGuyGAaBVXTLVVhEderkcEJhmCXlO,"Impact Assessment (e.g., assessing effects on stakeholders and environments)",Stakeholder Feedback Systems,VaoKuMLfhW,Transparency,Safety,XHslVSzkiO,No,Somewhat Easy,Unclear business case and issues around fairly distributed return on investment,Not prepared at all,Neutral,Written Reports following established standards,Visual Aids,Agree,Disagree,Very satisfied,Yes  / Something similar,Select,Extremely valuable,rfYeKJAdXklTgXSStxEltzpcmILjWFWYdrhlkWwEgFdmGtPIJA,Select,opXYnPYuRAudMKBgfepiqcKgJLjoHMtEFrxYZFWnANarYZtjNd,I need to know more about this tool to decide,xxLeNiYvjSdWlfxIRHJSgObtJbxHhAEnsVYaCGPEUXVzOBQYPH,VPoxdGCurszQcAhFcnzTVeJIDZbKzLiVuuTTJXejIODqhHVNKk,Step-by-Step Guidance / Skills Training,Regulatory Clarity and Compliance Guidance,RlCyQRBoluzPFTEzYjCpiddBNKWveLGuOtKZzqerBbgKYLVCeD,"['Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Business case justification', 'Tools to easily create Assurance Cases']",2022-08-23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Slightly challenging,Slightly challenging,Slightly challenging,Moderately challenging,Extremely challenging,Moderately challenging,Not challenging at all,Very challenging,Extremely challenging,Extremely Relevant,Not Relevant,Not Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Extremely Relevant,Not Relevant
45,vzmzizusjd@example.com,United Kingdom,Engineering,Middleware/API Developer,Indirectly (We support clients or provide components for their digital twins),whTSOeIFUj,KgCJYkVEGBXiDsGesaNRKliZilCxsnbajBJHHgcSNWWhlNmivT,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",Other (Please specify),HSJdsShKXH,Contestability,Quality,aBatvHRpDG,Yes,Not Applicable,Client Sponsor,Neutral,Strongly disagree,Visual Aids,Not Systematically,Disagree,Strongly disagree,Very satisfied,No,This is the first time I've heard of them.,Very valuable,ACNKJpvYhCtHkBMMxVreauJfwSjOtOHHDTNGVRCjXSacFmTblB,Select,XCRjZWCOVdcopwxxbnVJMeWYtxUAznAYVqBhAyIgyuAvRQsaWf,No,ytCitOAGRsUJgjNPXNimfSSVTblatkFKRERranYMQDXBdmOVsM,FkAbiychnfFQrFESHGjajoacqxhJHQryLiJNbqhssLiJskEzHG,Other (Please specify),Awareness Programs for Assurance,FvDbTcKZXoXRpuMresNxETfRDbhvLjIciIrkVpRyUipNQSNVKp,"['Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Business case justification']",2021-04-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Slightly challenging,Very challenging,Extremely challenging,Not challenging at all,Extremely challenging,Not challenging at all,Slightly challenging,Slightly challenging,Very challenging,Slightly Relevant,Very Relevant,Slightly Relevant,Very Relevant,Slightly Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant
46,yieahknmtr@example.com,United Kingdom,Water,Other,Yes,wrDJMxGlAG,BPnWyZaYzQIGPuFdGchdTdjCCDdYTfTJWmEWVLxOpkqlEHGytV,"Formal Verification (e.g., rigorously proving system properties)","Impact Assessment (e.g., assessing effects on stakeholders and environments)",QYCqXptrvo,Quality,Value Creation,TxmdIPtGbu,Yes,Somewhat Easy,Client Sponsor,Not prepared at all,Disagree,Interactive Platforms,Visual Aids,Neutral,Strongly agree,Very unsatisfied,Yes  / Something similar,I have helped develop them.,Very valuable,bNzJnhinAZvkISjuwNTKfmpkQPNcxQbNCtpOljFzctAHYIzOuy,"Consensus-based process (e.g., collaborative efforts of industry consortia)",iGTWBYScnhlpxcDFNnELncybOjpPgzcprerYcZfXzksDcFiAam,I need to know more about this tool to decide,eEbxZfbmAjIMRKjrQehfKwoeHmAxYVjvvNKHBvgmrPuXNRLZAF,iAKBriseAQxKodJKfREZNHUmCXSZzkWlfliFhaAnuKaFZHbmbH,Other (Please specify),Awareness Programs for Assurance,mukWJfreBPtZDqXVuHWSuPOUzflYOSkzhQccYLkpFQxvDJIWmd,"['Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-10-30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely challenging,Not challenging at all,Slightly challenging,Extremely challenging,Moderately challenging,Slightly challenging,Not challenging at all,Very challenging,Very challenging,Not Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Extremely Relevant,Not Relevant,Not Relevant,Extremely Relevant,Slightly Relevant
47,ljsjmwfenz@example.com,United Kingdom,Engineering,Platform Developer,Yes,SghfCvqGdn,cgKBEZWKOwrnTBbCpZHGkTmKDQjEgUsmfDGQrkEhdViOYpZweq,"Formal Verification (e.g., rigorously proving system properties)","Formal Verification (e.g., rigorously proving system properties)",jPzmbMHmPl,Ethical Integrity,Openness,vlxqQQZcAZ,Yes,Very Difficult,Insufficient digital awareness/skills,Not prepared at all,Disagree,Other,Not Systematically,Strongly agree,Agree,Very satisfied,No,I've heard of them but don't know much.,Not valuable at all,cwlwGylcygJyqsCMqiHjDMRZyGSojuGhjUPwYgSpBBcjJWioZT,Adapted existing framework / standards,otoovAsxQKwwGOvPgIMIOymExPBThmXanQxQoaVscnQnIuZTNz,No,qeSnQYAyPGsIwRHkIULEkmvBDZvoDxozDatawVsYqSBDXEVThr,EWiCpMsGfRodqBfHlnCsoOlrFfGCkIkZcOnVaSXyYowhSnMSer,Tools to easily create Assurance Cases,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,qqBVibdBbxwRaffKpogTJxNyVxvOvekXHJEGrtnLCyuMLTlAyJ,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Business case justification']",2020-04-27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Moderately challenging,Moderately challenging,Moderately challenging,Very challenging,Very challenging,Very challenging,Extremely challenging,Not challenging at all,Very challenging,Slightly Relevant,Very Relevant,Very Relevant,Very Relevant,Extremely Relevant,Very Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant
48,zfjmtprsdh@example.com,United Kingdom,Buildings,Project/Program Manager,No,vlYyuwXeEw,VplbFYfFROrMcbjEkhJirNstjFyNahFmsxojcJLUTMNOJXoMQO,"Impact Assessment (e.g., assessing effects on stakeholders and environments)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",AkBvJgfjAR,Robustness,Sustainability,OSaQFmvpTW,Yes,Very Difficult,Info security etc,Neutral,Agree,Digital Communications,Written Reports following established standards,Neutral,Neutral,Neutral,Yes  / Something similar,Select,Not valuable at all,TLhUwJWFqpZCQEpqxWEWSGsRzNslvsgyFoAQtUdzvNuolPWMKd,Select,FOmWLfyrYCreetjlZMkLcaXrnSjCZoFXADdlZWOikbaGfHrrte,Yes,PpUtQJmPZNYhawchQokriUGMrPwCEQnZKwLHliwbQGjwmboyhA,PnCqPVfuLIYVfAHzwDMMLzowwlFLIkghupWTySZbeiQHCErVJK,Value demonstration,Tools to easily create Assurance Cases,lZmLskHNoBXpcaddnFTcSQzahsaqwkXwlOeHHNzBfbxpssScuf,"['Step-by-Step Guidance / Skills Training', 'Business case justification', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration']",2021-09-26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not challenging at all,Not challenging at all,Slightly challenging,Not challenging at all,Not challenging at all,Not challenging at all,Not challenging at all,Moderately challenging,Extremely challenging,Slightly Relevant,Very Relevant,Very Relevant,Moderately Relevant,Moderately Relevant,Not Relevant,Not Relevant,Extremely Relevant,Very Relevant
49,rizisibgpd@example.com,United Kingdom,Construction,Other,Indirectly (We support clients or provide components for their digital twins),NjHgrKskvX,XFouseVPUKRhZzKRdQxZJJJTPGSIwtvKVvDasrwZrgechkaeIA,"Information Security Reviews (e.g., safeguarding data and systems)",None,hSTkXLgKGb,Security,Contestability,nUUAxkITke,Yes,Very Easy,Technical architecture,Somewhat prepared,Neutral,Written Reports following established standards,Digital Communications,Disagree,Agree,Neutral,No,This is the first time I've heard of them.,Not valuable at all,FiKBOiXdtXabyXcQQbvbOpYaNFxgTgZgPLzPfrTdvQqemmDQia,"Consensus-based process (e.g., collaborative efforts of industry consortia)",hQpigaunPCtCnxnKtSQVbxDQnUSqhcmdEyijIvDKUFVgMQpdQp,I need to know more about this tool to decide,rcbGeBmKQnOVMUkvJLMJfkMwXKAVqJpGvnUVuHJevUjnQrEZYx,hsxhSUyasUkKoybobBeKdaDXJvqWCUZvyRiJdhvrtkGEHQqmvI,Step-by-Step Guidance / Skills Training,Value demonstration,zzaCaTDTiySFYVfVrIidahqJPzUWvWeeMsoMmQwvELSXmGhnsl,"['Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training']",2020-12-17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely challenging,Not challenging at all,Moderately challenging,Extremely challenging,Extremely challenging,Very challenging,Very challenging,Very challenging,Moderately challenging,Slightly Relevant,Not Relevant,Moderately Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Very Relevant,Slightly Relevant
50,yylwgldgej@example.com,United States,Renewable Energy,Project/Program Manager,No,mEaFNhREyw,hepPYOFZINCcqrivdhtFVEyjwBchqVScYTbobsWYrCvaowoDZS,"Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",nOMGgLInbM,Data Stewardship,Ethical Integrity,lXjagPLxoJ,Yes,Very Easy,Concerns re confidentiality of data,Somewhat unprepared,Agree,Other,Written Reports following established standards,Strongly agree,Strongly disagree,Very satisfied,No,This is the first time I've heard of them.,Very valuable,dzfkbzilIYpGCpBqpEkEMuiSNGSnPiLJmJccrIGsOMQBGGwAQA,Developed by an external consultant,yUVyIqSBADBXflgIjFtZmypWFwqRhvsgosSBDpqKSlVXlYksCy,No,TWZlAuYvpqjkajjeRdbtFnuYDhWzhqOlpfcLhClKbUbGwWoDzr,LnsrpxEqSCRhntSgOeJNFcSpWuxxLudGLXkzQCOzKIZlpBsXVy,Regulatory Clarity and Compliance Guidance,Awareness Programs for Assurance,tbzJYOgDWxayzhpKHRjnAviPiFdtzuepxkRPtdFiSpxZnNxmTl,"['Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Value demonstration']",2023-03-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Not challenging at all,Slightly challenging,Very challenging,Not challenging at all,Very challenging,Very challenging,Extremely challenging,Very challenging,Extremely Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Very Relevant,Not Relevant
51,zouyakkbrq@example.com,United Kingdom,Construction,Semantic Web Technologist,No,kdeOkaXkpx,vofFzNJSGtiEhwZRFnJeJwPYJNbzSvwowOzPRzMmiRKhQcyldw,Other (Please specify),"Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",tyQnRWELCi,Quality,Robustness,JEAHRuqyIl,No,Neutral,Regulatory concerns around data protection,Somewhat prepared,Disagree,Other,Meetings,Neutral,Disagree,Very unsatisfied,No,I've seen them but don't use them in my work.,Slightly valuable,eFbvBAnEAYPtqExPrHXLNdZIlNicQOBVsMCytwDNaxBCWyDfdg,Select,DCvAnVEaNmDUJjLFLkCPjcSUVrOhiAhTqxDdGIIDJBrpseYQIE,No,PfTGUvmmAzNNhQzPEIjEINqamJFFNAAIEGBQUDFCrImXmoMupx,dzqnCZdTXyjhqHebWhyDRpAPUeUARYogNjHUsMPHfEVEhNIsUn,Other (Please specify),Business case justification,NZycugmcixrzcruMKsNPMLNbqZJcodCYsARyNlSbJPoNfRXjEI,"['Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Value demonstration']",2023-07-13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Moderately challenging,Extremely challenging,Moderately challenging,Very challenging,Extremely challenging,Very challenging,Slightly challenging,Moderately challenging,Moderately challenging,Not Relevant,Not Relevant,Extremely Relevant,Very Relevant,Moderately Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant
52,zhrrnqmjqe@example.com,Sweden,Renewable Energy,Governance Specialist,Yes,qKKDXwBAfN,ricAfLMpinEGCwbPjfXvNHNagEyDjqTCLBULdETrrcAsAcWAqq,"Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)","Formal Verification (e.g., rigorously proving system properties)",yNhoMYZtvx,Accountability,Public Good,RFmsMhFJCF,No,Somewhat Easy,Unclear business case and issues around fairly distributed return on investment,Somewhat unprepared,Disagree,Other,Written Reports following established standards,Strongly agree,Strongly disagree,Neutral,No,I've seen them but don't use them in my work.,Slightly valuable,AzLwfBfiePohFvLoiHzcZZniSFiUDhdQmPihrrHfBGZbYzvDiy,"Consensus-based process (e.g., collaborative efforts of industry consortia)",eaFwBqiRezVhURpByTHslgMIvWkqRQVngBZFurYtnTMngMFncF,Yes,SdTQLnsLCpCdNYIbuMfaBnSZCgnzyNBllaxFilRKDzpfPWErlj,DrczwXTNKdteVLnTQWNDCgOsfVvgFYwYfPaNpjVltweUZgNYpH,Other (Please specify),Step-by-Step Guidance / Skills Training,UKijnQjlnSUwpkuxlyAxVzZSWCQyclpljdgjxYKMNkFzQbcEpc,"['Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Business case justification', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-08-17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very challenging,Moderately challenging,Moderately challenging,Not challenging at all,Not challenging at all,Very challenging,Not challenging at all,Very challenging,Not challenging at all,Extremely Relevant,Slightly Relevant,Slightly Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Slightly Relevant,Very Relevant,Extremely Relevant
53,bdttrezzfm@example.com,United Kingdom,Technology,Platform Developer,Yes,KoXtwCUKwp,cQZPlSFQqOFDCFYlpITyrFJlzAeUTIJpXFOAMYeCXKHkarqXIG,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Formal Verification (e.g., rigorously proving system properties)",fuoYgReahw,Ethical Integrity,Interoperability,NJtJGryRqk,No,Somewhat Easy,Technical architecture,Very prepared,Strongly disagree,Non-standardized written Reports,Written Reports following established standards,Neutral,Neutral,Somewhat unsatisfied,I don’t know,I incorporate them in my work as guidelines.,Very valuable,DtEthpzPJFVNIscKBAJKFIomVKSgrhNLXefijyDnqJHtoAaGQY,Reused existing framework / standards,asjQgFIiyVGZyILwSKoBJqzFsjQZyFeBJmgMdKnlBTkAKxXoDM,Yes,QphhIENmFEcWLzuQYmplZyVtdJIvgIhiHknQAyTFtWZLSirQsC,sqCFoeXKgyoIFFHkQFpFZSAJYehnUcQCkuYhdiNMSKRucqHFWf,Tools to easily create Assurance Cases,Value demonstration,EeCscmSstkqyFWaIhbnMDsUJXLVrBAeOAJlzeCvnpBNRxICbeS,"['Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance']",2023-07-05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Very challenging,Not challenging at all,Not challenging at all,Extremely challenging,Moderately challenging,Extremely challenging,Moderately challenging,Moderately challenging,Very challenging,Not Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant,Moderately Relevant,Not Relevant,Very Relevant,Slightly Relevant
54,ieuszmwjhw@example.com,Chile,Technology,Other,Yes,ujcKHIZkct,mCcRJEHJAXDpKmVdrtHPbPWzGIBCSmCTyFgESelpAnyBcCMVSh,"Formal Verification (e.g., rigorously proving system properties)",Other (Please specify),aLTcrnWIAp,Ethical Integrity,Evolution,BloZxVVBxN,No,Very Easy,Competition,Somewhat prepared,Neutral,Digital Communications,Meetings,Agree,Strongly disagree,Somewhat satisfied,No,I've heard of them but don't know much.,Not valuable at all,IQsUCLzDlNCdxIoeSOhEgHWGShhMYvRWBhjfYZsesWYnIQzhXE,"Consensus-based process (e.g., collaborative efforts of industry consortia)",ZEpOeEMmQSwKdnjPyemrIvWCTVcBhYkhHcvYaeCoSdJAfOEECp,Yes,PgWPxllFgOxFZbYZkQoYuYbfjtExvgEoegHYdzpAanEQmpoSki,MflJrAuboYwWSGjIzyyisQDleepvNekglijTRzKEQfYRFnJIcU,Step-by-Step Guidance / Skills Training,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,GmvNRGxfXJEGHCWWrfpYXUWYutvRbdADytNdoNMGMetbceQioW,"['Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Tools to easily create Assurance Cases']",2020-02-16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Moderately challenging,Extremely challenging,Very challenging,Extremely challenging,Slightly challenging,Very challenging,Slightly challenging,Extremely challenging,Very challenging,Extremely Relevant,Moderately Relevant,Moderately Relevant,Very Relevant,Extremely Relevant,Not Relevant,Extremely Relevant,Extremely Relevant,Slightly Relevant
55,tdmsqyearu@example.com,United Kingdom,Education,Governance Specialist,No,hDBfcWCyjz,odLLQCOfrmEqZuqOQiWeDDydBdgEWWpbeYHBgboSXcYFOyksNE,"Risk Assessment (e.g., evaluating potential risks in projects)",None,JRWpiLLESo,Federation,Public Good,vuuSSHDuRB,Yes,Very Easy,Info security etc,Not prepared at all,Agree,Not Systematically,Visual Aids,Strongly disagree,Strongly disagree,Very satisfied,No,I've heard of them but don't know much.,Very valuable,YuJKmdOMMtFsiTFcLaXSACXJxkrxWcUbxKHEaJeTLvwyrPZzPp,Select,YQXgtuYWAWzvzfPbUxLOYtMMuMXTyIkUYzAmdpxgnXHIeAJkSc,Yes,eBXDLEkvTtbOuTqAAESVgAQDgTaoLmBhpZTVGVfbPTBKruwdEH,wiqmrZmbYYtCcCJQkllnharNNnSrYRMrRmuWkUztdsqxhyKfYO,Step-by-Step Guidance / Skills Training,Tools to easily create Assurance Cases,chtEiJTNRSQbssURKAWGMGzKNYSGmHbxrjTSDYBjETrdTdZeRH,"['Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Business case justification', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2020-01-05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not challenging at all,Extremely challenging,Slightly challenging,Very challenging,Not challenging at all,Slightly challenging,Not challenging at all,Slightly challenging,Slightly challenging,Moderately Relevant,Extremely Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Slightly Relevant,Very Relevant,Slightly Relevant,Slightly Relevant
